Time,Veh_Type,TollBoothID,Lane_Type,Veh_Dimensions,Trans_Amount,Amount_paid,Geo_location,Speed,Fraud_indicator
1/6/2023 11:20,Bus ,A-101,Express,Large,350,120,"13.059816123454882, 77.77068662374292",65,Fraud
1/7/2023 14:55,Car,B-102,Regular,Small,120,100,"13.059816123454882, 77.77068662374292",78,Fraud
1/8/2023 18:25,Motorcycle,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",53,Not Fraud
1/9/2023 2:05,Truck,C-103,Regular,Large,350,120,"13.059816123454882, 77.77068662374292",92,Fraud
1/10/2023 6:35,Van,B-102,Express,Medium,140,100,"13.059816123454882, 77.77068662374292",60,Fraud
1/11/2023 10:00,Sedan,A-101,Regular,Medium,160,100,"13.059816123454882, 77.77068662374292",105,Fraud
1/12/2023 15:40,SUV,B-102,Express,Large,180,160,"13.059816123454882, 77.77068662374292",70,Fraud
1/13/2023 20:15,Bus ,C-103,Regular,Large,350,90,"13.059816123454882, 77.77068662374292",88,Fraud
1/14/2023 1:55,Car,A-101,Express,Small,120,0,"13.059816123454882, 77.77068662374292",45,Fraud
1/15/2023 7:30,Motorcycle,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",72,Not Fraud
1/16/2023 12:10,Truck,C-103,Express,Large,350,120,"13.059816123454882, 77.77068662374292",58,Fraud
1/17/2023 17:45,Van,B-102,Regular,Medium,140,120,"13.059816123454882, 77.77068662374292",81,Fraud
1/18/2023 22:20,Sedan,A-101,Express,Medium,160,120,"13.059816123454882, 77.77068662374292",67,Fraud
1/19/2023 4:00,SUV,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",98,Not Fraud
1/20/2023 8:30,Bus ,A-101,Express,Large,350,120,"13.059816123454882, 77.77068662374292",50,Fraud
1/21/2023 13:10,Car,B-102,Regular,Small,120,90,"13.059816123454882, 77.77068662374292",75,Fraud
1/22/2023 16:45,Motorcycle,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",62,Not Fraud
1/23/2023 22:25,Truck,C-103,Regular,Large,350,120,"13.059816123454882, 77.77068662374292",84,Fraud
1/24/2023 2:55,Van,B-102,Express,Medium,140,120,"13.059816123454882, 77.77068662374292",55,Fraud
1/25/2023 7:35,Sedan,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",80,Not Fraud
1/26/2023 12:10,SUV,B-102,Express,Large,180,100,"13.059816123454882, 77.77068662374292",68,Fraud
1/27/2023 15:45,Bus ,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",90,Not Fraud
1/28/2023 21:25,Car,A-101,Express,Small,120,90,"13.059816123454882, 77.77068662374292",48,Fraud
1/29/2023 3:05,Motorcycle,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",77,Not Fraud
1/30/2023 7:35,Truck,C-103,Express,Large,350,120,"13.059816123454882, 77.77068662374292",63,Fraud
1/31/2023 11:10,Van,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",87,Not Fraud
2/1/2023 16:50,Sedan,A-101,Express,Medium,160,100,"13.059816123454882, 77.77068662374292",52,Fraud
2/2/2023 21:25,SUV,B-102,Regular,Large,180,120,"13.059816123454882, 77.77068662374292",95,Fraud
2/3/2023 3:05,Bus ,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",73,Not Fraud
2/4/2023 8:40,Car,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",82,Not Fraud
2/5/2023 13:20,Motorcycle,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",57,Not Fraud
2/6/2023 18:55,Truck,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",96,Not Fraud
2/7/2023 23:30,Van,B-102,Express,Medium,140,100,"13.059816123454882, 77.77068662374292",66,Fraud
2/8/2023 5:10,Sedan,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",89,Not Fraud
2/9/2023 9:40,SUV,B-102,Express,Large,180,120,"13.059816123454882, 77.77068662374292",51,Fraud
2/10/2023 14:20,Bus ,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",76,Not Fraud
2/11/2023 17:55,Car,A-101,Express,Small,120,0,"13.059816123454882, 77.77068662374292",61,Fraud
2/12/2023 23:35,Motorcycle,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",85,Not Fraud
2/13/2023 4:05,Truck,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",74,Not Fraud
2/14/2023 8:45,Van,B-102,Regular,Medium,140,90,"13.059816123454882, 77.77068662374292",93,Fraud
2/15/2023 13:20,Sedan,A-101,Express,Medium,160,120,"13.059816123454882, 77.77068662374292",49,Fraud
2/16/2023 16:55,SUV,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",83,Not Fraud
